"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_id","gene_label"
-2.24922262165244,4.58148379695062,-6.784836406427,5.40110514460833e-10,1.09696445486995e-05,12.3934651868576,"ENSG00000181409.15","AATK"
-2.62926189117971,6.06855798632622,-5.94109660905376,3.11611903781654e-08,0.000181986540319922,8.63767013351963,"ENSG00000143546.11","S100A8"
2.69115883932594,5.85350674405643,5.9308576804112,3.26837531398133e-08,0.000181986540319922,8.56930964811488,"ENSG00000272398.6","CD24"
1.97433885906433,5.07050840803605,5.91103687073214,3.58417607720181e-08,0.000181986540319922,8.44123892826104,"ENSG00000115641.20","FHL2"
1.07242093896938,4.83569147677648,5.80538934277967,5.82742812029316e-08,0.000236710130246308,8.02668435919456,"ENSG00000143507.19","DUSP10"
-1.41322437843329,6.21883155935954,-5.75015489151125,7.53524821484117e-08,0.000255068152072374,7.80173819501619,"ENSG00000105339.12","DENND3"
-3.32727514911495,5.69922496314469,-5.59414701578445,1.53374609402736e-07,0.000445005473852795,7.13391615807889,"ENSG00000165810.18","BTNL9"
1.22384201648421,5.61304188270329,5.53542447459338,1.99787104880991e-07,0.000507209512516616,6.88395248146712,"ENSG00000172667.12","ZMAT3"
1.46911856280098,5.75041287825687,5.4898093701564,2.45320599391433e-07,0.000515320268527035,6.69256966577274,"ENSG00000134247.11","PTGFRN"
-1.23553046879811,4.85832391703332,-5.46190209921344,2.77643378403803e-07,0.000515320268527035,6.57054856616004,"ENSG00000182511.13","FES"
-1.94595712197158,5.03340481390365,-5.46096969627592,2.79100096198788e-07,0.000515320268527035,6.54611685569316,"ENSG00000162878.14","PKDCC"
-4.13812695292012,-1.77349771258624,-5.42555943698518,3.26840888109962e-07,0.000552455997929196,5.68232791874384,"ENSG00000196415.10","PRTN3"
2.31588198809592,5.79475623664855,5.40785653865543,3.53615360565216e-07,0.000552455997929196,6.35042726861753,"ENSG00000163347.6","CLDN1"
-1.28963245491233,5.51517176209567,-5.33500433875103,4.88223876123703e-07,0.000682297606106288,6.04741837301977,"ENSG00000180448.12","ARHGAP45"
-0.927080659554512,5.61434162613285,-5.30194617587498,5.63466166397427e-07,0.000682297606106288,5.91268163960005,"ENSG00000146828.19","SLC12A9"
-1.22328332696152,6.91054888062334,-5.29234567529135,5.89073209944806e-07,0.000682297606106288,5.85351997527767,"ENSG00000160796.19","NBEAL2"
-3.39140566032414,0.156697023264705,-5.27488576371734,6.35981000359312e-07,0.000682297606106288,5.42452955259715,"ENSG00000144278.16","GALNT13"
-0.8602190179324,6.49447811485169,-5.27353861477099,6.3833270677263e-07,0.000682297606106288,5.78356184632973,"ENSG00000116584.23","ARHGEF2"
-3.59898726379611,0.415982076305803,-5.27159757866619,6.45214295315483e-07,0.000682297606106288,5.445592664222,"ENSG00000005381.9","MPO"
-2.65552196363583,3.0260574971854,-5.2623518591416,6.71883413201663e-07,0.000682297606106288,5.63162882462082,"ENSG00000008516.20","MMP25"
1.14846282555369,5.84400652573828,5.24481173902519,7.25433449329862e-07,0.000701597778851881,5.67661066498783,"ENSG00000164938.15","TP53INP1"
-1.8271091313505,5.44033454255918,-5.23054846174798,7.72093514880861e-07,0.000712782694874104,5.6162854264175,"ENSG00000160883.12","HK3"
4.19330190993719,4.34144513771803,5.20269162066444,8.71740867418635e-07,0.000769785087707499,5.38124793287225,"ENSG00000105664.12","COMP"
-2.34687477071893,2.46352885396804,-5.13507937696523,1.16865592899008e-06,0.000910961072235675,5.11663148815907,"ENSG00000123405.15","NFE2"
2.56488839441896,3.17224840156848,5.12125621719964,1.2405026885541e-06,0.000910961072235675,5.07294197354279,"ENSG00000101447.15","FAM83D"
