"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_id","gene_label"
-5.75709189649705,-0.224832565566043,-4.66429526800358,8.45583612653501e-06,0.0690458490596554,2.62261286762291,"ENSG00000166091.22","CMTM5"
-2.98367693937583,4.58148379695062,-4.66175764945363,8.54389645138777e-06,0.0690458490596554,3.37874675005595,"ENSG00000181409.15","AATK"
-4.0116947968755,-2.65906897502056,-4.57278710835218,1.22524256339161e-05,0.0690458490596554,2.18430952063352,"ENSG00000181215.17","C4orf50"
-1.51081961647485,5.61434162613285,-4.48814887448878,1.71930760368409e-05,0.0690458490596554,2.76073966421641,"ENSG00000146828.19","SLC12A9"
-2.31662109839326,5.7362328406548,-4.4592266375376,1.93154147852613e-05,0.0690458490596554,2.65493651874065,"ENSG00000089820.18","ARHGAP4"
-2.16253924872494,6.25949327963121,-4.39384117100548,2.50138107321354e-05,0.0690458490596554,2.4142905339911,"ENSG00000010327.11","STAB1"
-6.42631071081903,-1.77349771258624,-4.37608882992488,2.68215128412185e-05,0.0690458490596554,1.69336739716307,"ENSG00000196415.10","PRTN3"
-5.89582484391639,-2.25920808430761,-4.37254836372093,2.71967893883429e-05,0.0690458490596554,1.57461532810911,"ENSG00000291031.2","BCORP1"
-2.01840950066826,5.51517176209567,-4.33972467060329,3.09254084908964e-05,0.0697883384944561,2.22763814840812,"ENSG00000180448.12","ARHGAP45"
-1.85943787484273,4.85832391703332,-4.2730840161565,4.00475502176996e-05,0.0771378214148941,1.99352320207618,"ENSG00000182511.13","FES"
-1.57438367812076,3.96275468557485,-4.22873035603598,4.7485216005003e-05,0.0771378214148941,1.82216877620074,"ENSG00000188566.16","NDOR1"
-1.28289863337149,5.5114504425305,-4.22557992084343,4.80633002102072e-05,0.0771378214148941,1.82342239370501,"ENSG00000051009.12","FHIP1B"
-1.40261044832005,4.46893850459776,-4.20340211062925,5.23282997385264e-05,0.0771378214148941,1.75471094569795,"ENSG00000205356.11","TECPR1"
-5.51347787135869,0.415982076305803,-4.17677474744164,5.79879215776393e-05,0.0771378214148941,1.37323380056688,"ENSG00000005381.9","MPO"
1.30197506985637,6.17414014495667,4.16170220771673,6.13510215344251e-05,0.0771378214148941,1.60013910477964,"ENSG00000143324.15","XPR1"
-1.59418980820053,6.05154827643462,-4.15841044381423,6.21681657212786e-05,0.0771378214148941,1.58661329008944,"ENSG00000178685.15","PARP10"
1.9181997792333,8.34276510962582,4.14851234460185,6.45663694757853e-05,0.0771378214148941,1.53820154900462,"ENSG00000143153.15","ATP1B1"
-2.30761537682826,3.20883537316284,-4.06075764149268,8.98632650067166e-05,0.0964834671639506,1.23160633320813,"ENSG00000181444.14","ZNF467"
-3.44668937242182,-0.164970073867456,-4.0543640471726,9.20183999174953e-05,0.0964834671639506,0.771924845448287,"ENSG00000113763.13","UNC5A"
-7.2443179027073,-1.21934695257674,-4.04586210172936,9.50107997675535e-05,0.0964834671639506,0.694221217511903,"ENSG00000165246.16","NLGN4Y"
-1.52119656615737,4.86605634679953,-4.0131680203982,0.000107213453522091,0.100957057034375,1.11248228897667,"ENSG00000242802.10","AP5Z1"
-1.65312011925574,5.49095948301346,-4.00103415240282,0.000112238049132254,0.100957057034375,1.06038174094034,"ENSG00000213445.12","SIPA1"
-1.13069857625857,4.61839229420032,-3.99583984643578,0.000114328523475658,0.100957057034375,1.0539785397352,"ENSG00000176248.10","ANAPC2"
-3.7487812615837,-2.81797187111249,-3.97316950669209,0.000124425427239551,0.10529501780147,0.449048174212282,"ENSG00000233547.2","ENSG00000233547"
-1.16813194322715,6.184909995792,-3.9616268353004,0.000129723080425885,0.105387030537989,0.915077627656625,"ENSG00000010322.17","NISCH"
-3.67561634877209,-2.82107554262875,-3.94758015538982,0.000136708364493603,0.1059289552609,0.383653905632984,"ENSG00000225411.4","ENSG00000225411"
-2.6387117931036,6.1010807829065,-3.93951260987804,0.000140821358544772,0.1059289552609,0.855818699372039,"ENSG00000172889.17","EGFL7"
-3.83875316449674,3.0260574971854,-3.91929820958242,0.000151638981435472,0.108130500735755,0.747310618172564,"ENSG00000008516.20","MMP25"
-1.68937485939926,4.97642456169928,-3.90647994555503,0.00015890440338313,0.108130500735755,0.75053541916895,"ENSG00000131584.20","ACAP3"
6.33597842763288,-1.24044842589954,3.8979969792323,0.000163893781928088,0.108130500735755,0.736561940323707,"ENSG00000229807.15","XIST"
-3.22052264802361,-2.32270801164956,-3.89590144906828,0.000165044092703516,0.108130500735755,0.273323457595167,"ENSG00000160318.6","CLDND2"
