"gs_name","gene_symbol"
"HP_HEPATIC_FIBROSIS","CP"
"HP_HEPATIC_FIBROSIS","CSPP1"
"HP_HEPATIC_FIBROSIS","CTNNB1"
"HP_HEPATIC_FIBROSIS","CYP7B1"
"HP_HEPATIC_FIBROSIS","DCDC2"
"HP_HEPATIC_FIBROSIS","DGUOK"
"HP_HEPATIC_FIBROSIS","DLL4"
"HP_HEPATIC_FIBROSIS","DNASE2"
"HP_HEPATIC_FIBROSIS","DOCK6"
"HP_HEPATIC_FIBROSIS","DPM1"
"HP_HEPATIC_FIBROSIS","DYNC2H1"
"HP_HEPATIC_FIBROSIS","DYNC2I1"
"HP_HEPATIC_FIBROSIS","DYNC2I2"
"HP_HEPATIC_FIBROSIS","DZIP1L"
"HP_HEPATIC_FIBROSIS","EOGT"
"HP_HEPATIC_FIBROSIS","FADD"
"HP_HEPATIC_FIBROSIS","GLIS3"
"HP_HEPATIC_FIBROSIS","GPD1"
"HP_HEPATIC_FIBROSIS","GPR35"
"HP_HEPATIC_FIBROSIS","HAMP"
"HP_HEPATIC_FIBROSIS","HBB"
"HP_HEPATIC_FIBROSIS","HJV"
"HP_HEPATIC_FIBROSIS","IARS1"
"HP_HEPATIC_FIBROSIS","IFT122"
"HP_HEPATIC_FIBROSIS","IFT140"
"HP_HEPATIC_FIBROSIS","IFT172"
"HP_HEPATIC_FIBROSIS","IFT27"
"HP_HEPATIC_FIBROSIS","IFT56"
"HP_HEPATIC_FIBROSIS","IFT74"
"HP_HEPATIC_FIBROSIS","IFT80"
"HP_HEPATIC_FIBROSIS","IL12A"
"HP_HEPATIC_FIBROSIS","IL12RB1"
"HP_HEPATIC_FIBROSIS","INPP5E"
"HP_HEPATIC_FIBROSIS","INSR"
"HP_HEPATIC_FIBROSIS","INVS"
"HP_HEPATIC_FIBROSIS","IQCB1"
"HP_HEPATIC_FIBROSIS","IRF5"
"HP_HEPATIC_FIBROSIS","KIF12"
"HP_HEPATIC_FIBROSIS","KIF3B"
"HP_HEPATIC_FIBROSIS","LIPA"
"HP_HEPATIC_FIBROSIS","LYN"
"HP_HEPATIC_FIBROSIS","LZTFL1"
"HP_HEPATIC_FIBROSIS","MARS1"
"HP_HEPATIC_FIBROSIS","MED12"
"HP_HEPATIC_FIBROSIS","MET"
"HP_HEPATIC_FIBROSIS","MKKS"
"HP_HEPATIC_FIBROSIS","MKS1"
"HP_HEPATIC_FIBROSIS","MMEL1"
"HP_HEPATIC_FIBROSIS","MPI"
"HP_HEPATIC_FIBROSIS","MPV17"
"HP_HEPATIC_FIBROSIS","MST1"
"HP_HEPATIC_FIBROSIS","MTTP"
"HP_HEPATIC_FIBROSIS","NEK1"
"HP_HEPATIC_FIBROSIS","NEK8"
"HP_HEPATIC_FIBROSIS","NGLY1"
"HP_HEPATIC_FIBROSIS","NHP2"
"HP_HEPATIC_FIBROSIS","NOP10"
"HP_HEPATIC_FIBROSIS","NOTCH1"
"HP_HEPATIC_FIBROSIS","NPHP1"
"HP_HEPATIC_FIBROSIS","NPHP3"
"HP_HEPATIC_FIBROSIS","NPHP4"
"HP_HEPATIC_FIBROSIS","OFD1"
"HP_HEPATIC_FIBROSIS","PEX1"
"HP_HEPATIC_FIBROSIS","PHKA2"
"HP_HEPATIC_FIBROSIS","PHKB"
"HP_HEPATIC_FIBROSIS","PHKG2"
"HP_HEPATIC_FIBROSIS","PKHD1"
"HP_HEPATIC_FIBROSIS","PLIN1"
"HP_HEPATIC_FIBROSIS","PMM2"
"HP_HEPATIC_FIBROSIS","PNPLA6"
"HP_HEPATIC_FIBROSIS","POU2AF1"
"HP_HEPATIC_FIBROSIS","PRIM1"
"HP_HEPATIC_FIBROSIS","PSKH1"
"HP_HEPATIC_FIBROSIS","PTRH2"
"HP_HEPATIC_FIBROSIS","PYGL"
"HP_HEPATIC_FIBROSIS","RBCK1"
"HP_HEPATIC_FIBROSIS","RBPJ"
"HP_HEPATIC_FIBROSIS","RINT1"
"HP_HEPATIC_FIBROSIS","RNU7-1"
"HP_HEPATIC_FIBROSIS","RPGRIP1"
"HP_HEPATIC_FIBROSIS","RPGRIP1L"
"HP_HEPATIC_FIBROSIS","SC5D"
"HP_HEPATIC_FIBROSIS","SCAPER"
"HP_HEPATIC_FIBROSIS","SCLT1"
"HP_HEPATIC_FIBROSIS","SCYL1"
"HP_HEPATIC_FIBROSIS","SDCCAG8"
"HP_HEPATIC_FIBROSIS","SEMA4D"
"HP_HEPATIC_FIBROSIS","SERPINA1"
"HP_HEPATIC_FIBROSIS","SKIC2"
"HP_HEPATIC_FIBROSIS","SKIC3"
"HP_HEPATIC_FIBROSIS","SLC25A13"
"HP_HEPATIC_FIBROSIS","SLC51A"
"HP_HEPATIC_FIBROSIS","SLC51B"
"HP_HEPATIC_FIBROSIS","SPIB"
"HP_HEPATIC_FIBROSIS","STN1"
"HP_HEPATIC_FIBROSIS","STX5"
"HP_HEPATIC_FIBROSIS","TALDO1"
"HP_HEPATIC_FIBROSIS","TCF4"
"HP_HEPATIC_FIBROSIS","TCTN1"
"HP_HEPATIC_FIBROSIS","TCTN2"
"HP_HEPATIC_FIBROSIS","TCTN3"
"HP_HEPATIC_FIBROSIS","TERT"
"HP_HEPATIC_FIBROSIS","TMEM107"
"HP_HEPATIC_FIBROSIS","TMEM216"
"HP_HEPATIC_FIBROSIS","TMEM231"
"HP_HEPATIC_FIBROSIS","TMEM237"
"HP_HEPATIC_FIBROSIS","TMEM67"
"HP_HEPATIC_FIBROSIS","TNFSF15"
"HP_HEPATIC_FIBROSIS","TNPO3"
"HP_HEPATIC_FIBROSIS","TRAF3IP1"
"HP_HEPATIC_FIBROSIS","TRIM32"
"HP_HEPATIC_FIBROSIS","TTC8"
"HP_HEPATIC_FIBROSIS","TULP3"
"HP_HEPATIC_FIBROSIS","TXNDC15"
"HP_HEPATIC_FIBROSIS","UBR1"
"HP_HEPATIC_FIBROSIS","UNC45A"
"HP_HEPATIC_FIBROSIS","USP53"
"HP_HEPATIC_FIBROSIS","VMA12"
"HP_HEPATIC_FIBROSIS","WDPCP"
"HP_HEPATIC_FIBROSIS","WDR19"
"HP_HEPATIC_FIBROSIS","WDR35"
"HP_INTERSTITIAL_CARDIAC_FIBROSIS","ACTC1"
"HP_INTERSTITIAL_CARDIAC_FIBROSIS","DOLK"
"HP_INTERSTITIAL_CARDIAC_FIBROSIS","FLNC"
"HP_INTERSTITIAL_CARDIAC_FIBROSIS","KIF20A"
"HP_INTERSTITIAL_CARDIAC_FIBROSIS","LMNA"
"HP_INTERSTITIAL_CARDIAC_FIBROSIS","MYH7"
"HP_INTERSTITIAL_CARDIAC_FIBROSIS","MYPN"
"HP_INTERSTITIAL_CARDIAC_FIBROSIS","RPL3L"
"HP_INTERSTITIAL_CARDIAC_FIBROSIS","TNNI3"
"HP_INTERSTITIAL_CARDIAC_FIBROSIS","TNNT2"
"HP_MYELOFIBROSIS","CALR"
"HP_MYELOFIBROSIS","GFI1B"
"HP_MYELOFIBROSIS","JAK2"
"HP_MYELOFIBROSIS","MPIG6B"
"HP_MYELOFIBROSIS","MPL"
"HP_MYELOFIBROSIS","NBEAL2"
"HP_MYELOFIBROSIS","RBSN"
"HP_MYELOFIBROSIS","SH2B3"
"HP_MYELOFIBROSIS","SHOC2"
"HP_MYELOFIBROSIS","SRC"
"HP_MYELOFIBROSIS","TBXAS1"
"HP_MYELOFIBROSIS","TET2"
"HP_MYELOFIBROSIS","TLR8"
"HP_MYELOFIBROSIS","TP53"
"HP_MYOCARDIAL_FIBROSIS","ACTC1"
"HP_MYOCARDIAL_FIBROSIS","ALMS1"
"HP_MYOCARDIAL_FIBROSIS","DOLK"
"HP_MYOCARDIAL_FIBROSIS","FKTN"
"HP_MYOCARDIAL_FIBROSIS","FLNC"
"HP_MYOCARDIAL_FIBROSIS","JPH2"
"HP_MYOCARDIAL_FIBROSIS","KIF20A"
"HP_MYOCARDIAL_FIBROSIS","LAMP2"
"HP_MYOCARDIAL_FIBROSIS","LMNA"
"HP_MYOCARDIAL_FIBROSIS","MYH7"
"HP_MYOCARDIAL_FIBROSIS","MYL2"
"HP_MYOCARDIAL_FIBROSIS","MYPN"
"HP_MYOCARDIAL_FIBROSIS","MYZAP"
"HP_MYOCARDIAL_FIBROSIS","PPA2"
"HP_MYOCARDIAL_FIBROSIS","PPP1R13L"
"HP_MYOCARDIAL_FIBROSIS","RPL3L"
"HP_MYOCARDIAL_FIBROSIS","SERPINE1"
"HP_MYOCARDIAL_FIBROSIS","TNNI3"
"HP_MYOCARDIAL_FIBROSIS","TNNT2"
"HP_MYOCARDIAL_FIBROSIS","TRIM37"
"HP_PANCREATIC_FIBROSIS","B9D1"
"HP_PANCREATIC_FIBROSIS","B9D2"
"HP_PANCREATIC_FIBROSIS","CC2D2A"
"HP_PANCREATIC_FIBROSIS","CEP290"
"HP_PANCREATIC_FIBROSIS","CSPP1"
"HP_PANCREATIC_FIBROSIS","DYNC2I1"
"HP_PANCREATIC_FIBROSIS","MKS1"
"HP_PANCREATIC_FIBROSIS","NEK1"
"HP_PANCREATIC_FIBROSIS","NEK8"
"HP_PANCREATIC_FIBROSIS","NPHP3"
"HP_PANCREATIC_FIBROSIS","PTRH2"
"HP_PANCREATIC_FIBROSIS","RPGRIP1"
"HP_PANCREATIC_FIBROSIS","RPGRIP1L"
"HP_PANCREATIC_FIBROSIS","SLC37A4"
"HP_PANCREATIC_FIBROSIS","TCTN1"
"HP_PANCREATIC_FIBROSIS","TCTN2"
"HP_PANCREATIC_FIBROSIS","TCTN3"
"HP_PANCREATIC_FIBROSIS","TMEM107"
"HP_PANCREATIC_FIBROSIS","TMEM216"
"HP_PANCREATIC_FIBROSIS","TMEM231"
"HP_PANCREATIC_FIBROSIS","TMEM237"
"HP_PANCREATIC_FIBROSIS","TMEM67"
"HP_PANCREATIC_FIBROSIS","TXNDC15"
"HP_PERIPORTAL_FIBROSIS","ACADVL"
"HP_PERIPORTAL_FIBROSIS","ALG9"
"HP_PERIPORTAL_FIBROSIS","ANKS6"
