tp,tn,fp,fn,n,n_positive,n_negative,accuracy,balanced_accuracy,sensitivity,specificity,precision,fpr,fnr,roc_auc,average_precision,panel_name,panel_size
99,67,3,6,175,105,70,0.9485714285714286,0.95,0.9428571428571428,0.9571428571428572,0.9705882352941176,0.04285714285714286,0.05714285714285714,0.9835374149659863,0.9893188648302278,top_10,10
103,66,4,2,175,105,70,0.9657142857142857,0.9619047619047618,0.9809523809523809,0.9428571428571428,0.9626168224299065,0.05714285714285714,0.01904761904761905,0.9910204081632653,0.9938037802955046,top_25,25
105,67,3,0,175,105,70,0.9828571428571429,0.9785714285714286,1.0,0.9571428571428572,0.9722222222222222,0.04285714285714286,0.0,0.9974149659863946,0.9982767194904697,top_50,50
