held_out_inner_study,balanced_accuracy,sensitivity,specificity,precision,roc_auc,n_validation,candidate_c,candidate_l1_ratio,candidate_param_label,panel_name,outer_held_out_study
GSE184316,0.75,0.5,1.0,1.0,1.0,16,100.0,0.5,"C=100, l1_ratio=0.5",top_10,GSE73189
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,100.0,0.5,"C=100, l1_ratio=0.5",top_10,GSE73189
mean,0.9081196581196581,,,,,166,100.0,0.5,"C=100, l1_ratio=0.5",top_10,GSE73189
GSE213001,0.5,0.0,1.0,,0.5,101,0.01,0.75,"C=0.01, l1_ratio=0.75",top_10,GSE73189
GSE138239,0.5,1.0,0.0,0.7333333333333333,0.5,15,0.01,0.75,"C=0.01, l1_ratio=0.75",top_10,GSE73189
GSE184316,0.5,1.0,0.0,0.625,0.5,16,0.01,0.75,"C=0.01, l1_ratio=0.75",top_10,GSE73189
GSE199949,0.5,1.0,0.0,0.5294117647058824,0.5,34,0.01,0.75,"C=0.01, l1_ratio=0.75",top_10,GSE73189
mean,0.5,,,,,166,0.01,0.75,"C=0.01, l1_ratio=0.75",top_10,GSE73189
GSE213001,1.0,1.0,1.0,1.0,1.0,101,0.1,0.75,"C=0.1, l1_ratio=0.75",top_10,GSE73189
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.1,0.75,"C=0.1, l1_ratio=0.75",top_10,GSE73189
GSE184316,0.85,0.7,1.0,1.0,1.0,16,0.1,0.75,"C=0.1, l1_ratio=0.75",top_10,GSE73189
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.1,0.75,"C=0.1, l1_ratio=0.75",top_10,GSE73189
mean,0.9555555555555556,,,,,166,0.1,0.75,"C=0.1, l1_ratio=0.75",top_10,GSE73189
GSE213001,1.0,1.0,1.0,1.0,1.0,101,1.0,0.75,"C=1, l1_ratio=0.75",top_10,GSE73189
GSE138239,1.0,1.0,1.0,1.0,1.0,15,1.0,0.75,"C=1, l1_ratio=0.75",top_10,GSE73189
GSE184316,0.8,0.6,1.0,1.0,1.0,16,1.0,0.75,"C=1, l1_ratio=0.75",top_10,GSE73189
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,1.0,0.75,"C=1, l1_ratio=0.75",top_10,GSE73189
mean,0.9430555555555555,,,,,166,1.0,0.75,"C=1, l1_ratio=0.75",top_10,GSE73189
GSE213001,0.9102564102564102,1.0,0.8205128205128205,0.8985507246376812,1.0,101,10.0,0.75,"C=10, l1_ratio=0.75",top_10,GSE73189
GSE138239,1.0,1.0,1.0,1.0,1.0,15,10.0,0.75,"C=10, l1_ratio=0.75",top_10,GSE73189
GSE184316,0.75,0.5,1.0,1.0,1.0,16,10.0,0.75,"C=10, l1_ratio=0.75",top_10,GSE73189
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,10.0,0.75,"C=10, l1_ratio=0.75",top_10,GSE73189
mean,0.9081196581196581,,,,,166,10.0,0.75,"C=10, l1_ratio=0.75",top_10,GSE73189
GSE213001,0.9102564102564102,1.0,0.8205128205128205,0.8985507246376812,1.0,101,100.0,0.75,"C=100, l1_ratio=0.75",top_10,GSE73189
GSE138239,1.0,1.0,1.0,1.0,1.0,15,100.0,0.75,"C=100, l1_ratio=0.75",top_10,GSE73189
GSE184316,0.75,0.5,1.0,1.0,1.0,16,100.0,0.75,"C=100, l1_ratio=0.75",top_10,GSE73189
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,100.0,0.75,"C=100, l1_ratio=0.75",top_10,GSE73189
mean,0.9081196581196581,,,,,166,100.0,0.75,"C=100, l1_ratio=0.75",top_10,GSE73189
GSE73189,0.6,1.0,0.2,0.5,0.7,9,0.01,0.25,"C=0.01, l1_ratio=0.25",top_10,GSE213001
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.01,0.25,"C=0.01, l1_ratio=0.25",top_10,GSE213001
GSE184316,0.95,0.9,1.0,1.0,1.0,16,0.01,0.25,"C=0.01, l1_ratio=0.25",top_10,GSE213001
GSE199949,0.5,1.0,0.0,0.5294117647058824,0.5,34,0.01,0.25,"C=0.01, l1_ratio=0.25",top_10,GSE213001
mean,0.7625,,,,,74,0.01,0.25,"C=0.01, l1_ratio=0.25",top_10,GSE213001
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.7,9,0.1,0.25,"C=0.1, l1_ratio=0.25",top_10,GSE213001
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.1,0.25,"C=0.1, l1_ratio=0.25",top_10,GSE213001
GSE184316,0.7,0.4,1.0,1.0,1.0,16,0.1,0.25,"C=0.1, l1_ratio=0.25",top_10,GSE213001
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.1,0.25,"C=0.1, l1_ratio=0.25",top_10,GSE213001
mean,0.7930555555555556,,,,,74,0.1,0.25,"C=0.1, l1_ratio=0.25",top_10,GSE213001
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.7,9,1.0,0.25,"C=1, l1_ratio=0.25",top_10,GSE213001
GSE138239,1.0,1.0,1.0,1.0,1.0,15,1.0,0.25,"C=1, l1_ratio=0.25",top_10,GSE213001
GSE184316,0.7,0.4,1.0,1.0,1.0,16,1.0,0.25,"C=1, l1_ratio=0.25",top_10,GSE213001
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,1.0,0.25,"C=1, l1_ratio=0.25",top_10,GSE213001
mean,0.7930555555555556,,,,,74,1.0,0.25,"C=1, l1_ratio=0.25",top_10,GSE213001
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.7,9,10.0,0.25,"C=10, l1_ratio=0.25",top_10,GSE213001
GSE138239,1.0,1.0,1.0,1.0,1.0,15,10.0,0.25,"C=10, l1_ratio=0.25",top_10,GSE213001
GSE184316,0.5,0.0,1.0,,1.0,16,10.0,0.25,"C=10, l1_ratio=0.25",top_10,GSE213001
GSE199949,0.9444444444444444,0.8888888888888888,1.0,1.0,1.0,34,10.0,0.25,"C=10, l1_ratio=0.25",top_10,GSE213001
mean,0.7361111111111112,,,,,74,10.0,0.25,"C=10, l1_ratio=0.25",top_10,GSE213001
