held_out_inner_study,balanced_accuracy,sensitivity,specificity,precision,roc_auc,n_validation,candidate_c,candidate_l1_ratio,candidate_param_label,panel_name,outer_held_out_study
GSE213001,1.0,1.0,1.0,1.0,1.0,101,1.0,0.75,"C=1, l1_ratio=0.75",top_10,GSE138239
GSE184316,0.5,0.0,1.0,,1.0,16,1.0,0.75,"C=1, l1_ratio=0.75",top_10,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,1.0,0.75,"C=1, l1_ratio=0.75",top_10,GSE138239
mean,0.7930555555555556,,,,,160,1.0,0.75,"C=1, l1_ratio=0.75",top_10,GSE138239
GSE73189,0.6,1.0,0.2,0.5,0.7,9,10.0,0.75,"C=10, l1_ratio=0.75",top_10,GSE138239
GSE213001,0.9919354838709677,0.9838709677419355,1.0,1.0,0.9987593052109182,101,10.0,0.75,"C=10, l1_ratio=0.75",top_10,GSE138239
GSE184316,0.5,0.0,1.0,,1.0,16,10.0,0.75,"C=10, l1_ratio=0.75",top_10,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,10.0,0.75,"C=10, l1_ratio=0.75",top_10,GSE138239
mean,0.7660394265232975,,,,,160,10.0,0.75,"C=10, l1_ratio=0.75",top_10,GSE138239
GSE73189,0.6,1.0,0.2,0.5,0.7,9,100.0,0.75,"C=100, l1_ratio=0.75",top_10,GSE138239
GSE213001,0.9454094292803971,0.967741935483871,0.9230769230769231,0.9523809523809523,0.9896608767576509,101,100.0,0.75,"C=100, l1_ratio=0.75",top_10,GSE138239
GSE184316,0.5,0.0,1.0,,1.0,16,100.0,0.75,"C=100, l1_ratio=0.75",top_10,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,100.0,0.75,"C=100, l1_ratio=0.75",top_10,GSE138239
mean,0.7544079128756549,,,,,160,100.0,0.75,"C=100, l1_ratio=0.75",top_10,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,0.01,0.25,"C=0.01, l1_ratio=0.25",top_10,GSE184316
GSE213001,0.9871794871794872,1.0,0.9743589743589743,0.9841269841269841,1.0,101,0.01,0.25,"C=0.01, l1_ratio=0.25",top_10,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.01,0.25,"C=0.01, l1_ratio=0.25",top_10,GSE184316
GSE199949,0.9444444444444444,0.8888888888888888,1.0,1.0,1.0,34,0.01,0.25,"C=0.01, l1_ratio=0.25",top_10,GSE184316
mean,0.907905982905983,,,,,159,0.01,0.25,"C=0.01, l1_ratio=0.25",top_10,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,0.1,0.25,"C=0.1, l1_ratio=0.25",top_10,GSE184316
GSE213001,1.0,1.0,1.0,1.0,1.0,101,0.1,0.25,"C=0.1, l1_ratio=0.25",top_10,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.1,0.25,"C=0.1, l1_ratio=0.25",top_10,GSE184316
GSE199949,0.9444444444444444,0.8888888888888888,1.0,1.0,1.0,34,0.1,0.25,"C=0.1, l1_ratio=0.25",top_10,GSE184316
mean,0.9111111111111112,,,,,159,0.1,0.25,"C=0.1, l1_ratio=0.25",top_10,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,1.0,0.25,"C=1, l1_ratio=0.25",top_10,GSE184316
GSE213001,1.0,1.0,1.0,1.0,1.0,101,1.0,0.25,"C=1, l1_ratio=0.25",top_10,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,1.0,0.25,"C=1, l1_ratio=0.25",top_10,GSE184316
GSE199949,0.9166666666666667,0.8333333333333334,1.0,1.0,1.0,34,1.0,0.25,"C=1, l1_ratio=0.25",top_10,GSE184316
mean,0.9041666666666668,,,,,159,1.0,0.25,"C=1, l1_ratio=0.25",top_10,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,10.0,0.25,"C=10, l1_ratio=0.25",top_10,GSE184316
GSE213001,0.9662944582299421,0.9838709677419355,0.9487179487179487,0.9682539682539683,0.9991728701406121,101,10.0,0.25,"C=10, l1_ratio=0.25",top_10,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,10.0,0.25,"C=10, l1_ratio=0.25",top_10,GSE184316
GSE199949,0.9444444444444444,0.8888888888888888,1.0,1.0,1.0,34,10.0,0.25,"C=10, l1_ratio=0.25",top_10,GSE184316
mean,0.9026847256685966,,,,,159,10.0,0.25,"C=10, l1_ratio=0.25",top_10,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,100.0,0.25,"C=100, l1_ratio=0.25",top_10,GSE184316
GSE213001,0.8893713813068651,0.9838709677419355,0.7948717948717948,0.8840579710144928,0.9846980976013233,101,100.0,0.25,"C=100, l1_ratio=0.25",top_10,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,100.0,0.25,"C=100, l1_ratio=0.25",top_10,GSE184316
GSE199949,0.9444444444444444,0.8888888888888888,1.0,1.0,1.0,34,100.0,0.25,"C=100, l1_ratio=0.25",top_10,GSE184316
mean,0.8834539564378274,,,,,159,100.0,0.25,"C=100, l1_ratio=0.25",top_10,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,0.01,0.5,"C=0.01, l1_ratio=0.5",top_10,GSE184316
GSE213001,0.5,0.0,1.0,,0.5,101,0.01,0.5,"C=0.01, l1_ratio=0.5",top_10,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.01,0.5,"C=0.01, l1_ratio=0.5",top_10,GSE184316
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.01,0.5,"C=0.01, l1_ratio=0.5",top_10,GSE184316
mean,0.7930555555555556,,,,,159,0.01,0.5,"C=0.01, l1_ratio=0.5",top_10,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,0.1,0.5,"C=0.1, l1_ratio=0.5",top_10,GSE184316
GSE213001,1.0,1.0,1.0,1.0,1.0,101,0.1,0.5,"C=0.1, l1_ratio=0.5",top_10,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.1,0.5,"C=0.1, l1_ratio=0.5",top_10,GSE184316
GSE199949,0.9444444444444444,0.8888888888888888,1.0,1.0,1.0,34,0.1,0.5,"C=0.1, l1_ratio=0.5",top_10,GSE184316
mean,0.9111111111111112,,,,,159,0.1,0.5,"C=0.1, l1_ratio=0.5",top_10,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,1.0,0.5,"C=1, l1_ratio=0.5",top_10,GSE184316
GSE213001,0.9919354838709677,0.9838709677419355,1.0,1.0,1.0,101,1.0,0.5,"C=1, l1_ratio=0.5",top_10,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,1.0,0.5,"C=1, l1_ratio=0.5",top_10,GSE184316
GSE199949,0.9444444444444444,0.8888888888888888,1.0,1.0,1.0,34,1.0,0.5,"C=1, l1_ratio=0.5",top_10,GSE184316
mean,0.909094982078853,,,,,159,1.0,0.5,"C=1, l1_ratio=0.5",top_10,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,10.0,0.5,"C=10, l1_ratio=0.5",top_10,GSE184316
GSE213001,0.9406534325889164,0.9838709677419355,0.8974358974358975,0.9384615384615385,0.9966914805624483,101,10.0,0.5,"C=10, l1_ratio=0.5",top_10,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,10.0,0.5,"C=10, l1_ratio=0.5",top_10,GSE184316
GSE199949,0.9444444444444444,0.8888888888888888,1.0,1.0,1.0,34,10.0,0.5,"C=10, l1_ratio=0.5",top_10,GSE184316
mean,0.8962744692583402,,,,,159,10.0,0.5,"C=10, l1_ratio=0.5",top_10,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,100.0,0.5,"C=100, l1_ratio=0.5",top_10,GSE184316
GSE213001,0.8893713813068651,0.9838709677419355,0.7948717948717948,0.8840579710144928,0.978494623655914,101,100.0,0.5,"C=100, l1_ratio=0.5",top_10,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,100.0,0.5,"C=100, l1_ratio=0.5",top_10,GSE184316
GSE199949,0.9444444444444444,0.8888888888888888,1.0,1.0,1.0,34,100.0,0.5,"C=100, l1_ratio=0.5",top_10,GSE184316
mean,0.8834539564378274,,,,,159,100.0,0.5,"C=100, l1_ratio=0.5",top_10,GSE184316
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.5,9,0.01,0.75,"C=0.01, l1_ratio=0.75",top_10,GSE184316
GSE213001,0.5,0.0,1.0,,0.5,101,0.01,0.75,"C=0.01, l1_ratio=0.75",top_10,GSE184316
GSE138239,0.5,0.0,1.0,,0.5,15,0.01,0.75,"C=0.01, l1_ratio=0.75",top_10,GSE184316
GSE199949,0.5,1.0,0.0,0.5294117647058824,0.5,34,0.01,0.75,"C=0.01, l1_ratio=0.75",top_10,GSE184316
mean,0.5,,,,,159,0.01,0.75,"C=0.01, l1_ratio=0.75",top_10,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,0.1,0.75,"C=0.1, l1_ratio=0.75",top_10,GSE184316
GSE213001,1.0,1.0,1.0,1.0,1.0,101,0.1,0.75,"C=0.1, l1_ratio=0.75",top_10,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.1,0.75,"C=0.1, l1_ratio=0.75",top_10,GSE184316
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.1,0.75,"C=0.1, l1_ratio=0.75",top_10,GSE184316
mean,0.9180555555555556,,,,,159,0.1,0.75,"C=0.1, l1_ratio=0.75",top_10,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,1.0,0.75,"C=1, l1_ratio=0.75",top_10,GSE184316
GSE213001,0.9919354838709677,0.9838709677419355,1.0,1.0,1.0,101,1.0,0.75,"C=1, l1_ratio=0.75",top_10,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,1.0,0.75,"C=1, l1_ratio=0.75",top_10,GSE184316
GSE199949,0.9444444444444444,0.8888888888888888,1.0,1.0,1.0,34,1.0,0.75,"C=1, l1_ratio=0.75",top_10,GSE184316
mean,0.909094982078853,,,,,159,1.0,0.75,"C=1, l1_ratio=0.75",top_10,GSE184316
GSE73189,0.6,1.0,0.2,0.5,0.7,9,10.0,0.75,"C=10, l1_ratio=0.75",top_10,GSE184316
GSE213001,0.9150124069478909,0.9838709677419355,0.8461538461538461,0.9104477611940298,0.9937965260545906,101,10.0,0.75,"C=10, l1_ratio=0.75",top_10,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,10.0,0.75,"C=10, l1_ratio=0.75",top_10,GSE184316
GSE199949,0.9444444444444444,0.8888888888888888,1.0,1.0,1.0,34,10.0,0.75,"C=10, l1_ratio=0.75",top_10,GSE184316
mean,0.8648642128480839,,,,,159,10.0,0.75,"C=10, l1_ratio=0.75",top_10,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,100.0,0.75,"C=100, l1_ratio=0.75",top_10,GSE184316
GSE213001,0.8893713813068651,0.9838709677419355,0.7948717948717948,0.8840579710144928,0.9727047146401986,101,100.0,0.75,"C=100, l1_ratio=0.75",top_10,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,100.0,0.75,"C=100, l1_ratio=0.75",top_10,GSE184316
GSE199949,0.9166666666666667,0.8333333333333334,1.0,1.0,1.0,34,100.0,0.75,"C=100, l1_ratio=0.75",top_10,GSE184316
mean,0.876509511993383,,,,,159,100.0,0.75,"C=100, l1_ratio=0.75",top_10,GSE184316
GSE73189,0.575,0.75,0.4,0.5,0.7,9,0.01,0.25,"C=0.01, l1_ratio=0.25",top_10,GSE199949
GSE213001,0.5,1.0,0.0,0.6138613861386139,0.5,101,0.01,0.25,"C=0.01, l1_ratio=0.25",top_10,GSE199949
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.01,0.25,"C=0.01, l1_ratio=0.25",top_10,GSE199949
GSE184316,0.5,0.0,1.0,,1.0,16,0.01,0.25,"C=0.01, l1_ratio=0.25",top_10,GSE199949
mean,0.64375,,,,,141,0.01,0.25,"C=0.01, l1_ratio=0.25",top_10,GSE199949
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,0.1,0.25,"C=0.1, l1_ratio=0.25",top_10,GSE199949
GSE213001,1.0,1.0,1.0,1.0,1.0,101,0.1,0.25,"C=0.1, l1_ratio=0.25",top_10,GSE199949
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.1,0.25,"C=0.1, l1_ratio=0.25",top_10,GSE199949
GSE184316,0.5,0.0,1.0,,1.0,16,0.1,0.25,"C=0.1, l1_ratio=0.25",top_10,GSE199949
mean,0.8,,,,,141,0.1,0.25,"C=0.1, l1_ratio=0.25",top_10,GSE199949
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,1.0,0.25,"C=1, l1_ratio=0.25",top_10,GSE199949
GSE213001,0.9919354838709677,0.9838709677419355,1.0,1.0,1.0,101,1.0,0.25,"C=1, l1_ratio=0.25",top_10,GSE199949
GSE138239,1.0,1.0,1.0,1.0,1.0,15,1.0,0.25,"C=1, l1_ratio=0.25",top_10,GSE199949
GSE184316,0.5,0.0,1.0,,1.0,16,1.0,0.25,"C=1, l1_ratio=0.25",top_10,GSE199949
mean,0.7979838709677419,,,,,141,1.0,0.25,"C=1, l1_ratio=0.25",top_10,GSE199949
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,10.0,0.25,"C=10, l1_ratio=0.25",top_10,GSE199949
GSE213001,1.0,1.0,1.0,1.0,1.0,101,10.0,0.25,"C=10, l1_ratio=0.25",top_10,GSE199949
GSE138239,1.0,1.0,1.0,1.0,1.0,15,10.0,0.25,"C=10, l1_ratio=0.25",top_10,GSE199949
GSE184316,0.5,0.0,1.0,,1.0,16,10.0,0.25,"C=10, l1_ratio=0.25",top_10,GSE199949
mean,0.8,,,,,141,10.0,0.25,"C=10, l1_ratio=0.25",top_10,GSE199949
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,100.0,0.25,"C=100, l1_ratio=0.25",top_10,GSE199949
GSE213001,0.9615384615384616,1.0,0.9230769230769231,0.9538461538461539,0.9950372208436725,101,100.0,0.25,"C=100, l1_ratio=0.25",top_10,GSE199949
GSE138239,1.0,1.0,1.0,1.0,1.0,15,100.0,0.25,"C=100, l1_ratio=0.25",top_10,GSE199949
GSE184316,0.5,0.0,1.0,,1.0,16,100.0,0.25,"C=100, l1_ratio=0.25",top_10,GSE199949
mean,0.7903846153846154,,,,,141,100.0,0.25,"C=100, l1_ratio=0.25",top_10,GSE199949
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.65,9,0.01,0.5,"C=0.01, l1_ratio=0.5",top_10,GSE199949
GSE213001,0.5,1.0,0.0,0.6138613861386139,0.5,101,0.01,0.5,"C=0.01, l1_ratio=0.5",top_10,GSE199949
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.01,0.5,"C=0.01, l1_ratio=0.5",top_10,GSE199949
GSE184316,0.75,0.5,1.0,1.0,1.0,16,0.01,0.5,"C=0.01, l1_ratio=0.5",top_10,GSE199949
mean,0.7375,,,,,141,0.01,0.5,"C=0.01, l1_ratio=0.5",top_10,GSE199949
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,0.1,0.5,"C=0.1, l1_ratio=0.5",top_10,GSE199949
GSE213001,1.0,1.0,1.0,1.0,1.0,101,0.1,0.5,"C=0.1, l1_ratio=0.5",top_10,GSE199949
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.1,0.5,"C=0.1, l1_ratio=0.5",top_10,GSE199949
GSE184316,0.5,0.0,1.0,,1.0,16,0.1,0.5,"C=0.1, l1_ratio=0.5",top_10,GSE199949
mean,0.8,,,,,141,0.1,0.5,"C=0.1, l1_ratio=0.5",top_10,GSE199949
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,1.0,0.5,"C=1, l1_ratio=0.5",top_10,GSE199949
GSE213001,0.9919354838709677,0.9838709677419355,1.0,1.0,1.0,101,1.0,0.5,"C=1, l1_ratio=0.5",top_10,GSE199949
GSE138239,1.0,1.0,1.0,1.0,1.0,15,1.0,0.5,"C=1, l1_ratio=0.5",top_10,GSE199949
GSE184316,0.5,0.0,1.0,,1.0,16,1.0,0.5,"C=1, l1_ratio=0.5",top_10,GSE199949
mean,0.7979838709677419,,,,,141,1.0,0.5,"C=1, l1_ratio=0.5",top_10,GSE199949
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,10.0,0.5,"C=10, l1_ratio=0.5",top_10,GSE199949
GSE213001,0.9871794871794872,1.0,0.9743589743589743,0.9841269841269841,1.0,101,10.0,0.5,"C=10, l1_ratio=0.5",top_10,GSE199949
GSE138239,1.0,1.0,1.0,1.0,1.0,15,10.0,0.5,"C=10, l1_ratio=0.5",top_10,GSE199949
GSE184316,0.5,0.0,1.0,,1.0,16,10.0,0.5,"C=10, l1_ratio=0.5",top_10,GSE199949
mean,0.7967948717948719,,,,,141,10.0,0.5,"C=10, l1_ratio=0.5",top_10,GSE199949
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,100.0,0.5,"C=100, l1_ratio=0.5",top_10,GSE199949
GSE213001,0.9615384615384616,1.0,0.9230769230769231,0.9538461538461539,0.9946236559139785,101,100.0,0.5,"C=100, l1_ratio=0.5",top_10,GSE199949
GSE138239,1.0,1.0,1.0,1.0,1.0,15,100.0,0.5,"C=100, l1_ratio=0.5",top_10,GSE199949
GSE184316,0.5,0.0,1.0,,1.0,16,100.0,0.5,"C=100, l1_ratio=0.5",top_10,GSE199949
mean,0.7903846153846154,,,,,141,100.0,0.5,"C=100, l1_ratio=0.5",top_10,GSE199949
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.5,9,0.01,0.75,"C=0.01, l1_ratio=0.75",top_10,GSE199949
GSE213001,0.5,1.0,0.0,0.6138613861386139,0.5,101,0.01,0.75,"C=0.01, l1_ratio=0.75",top_10,GSE199949
GSE138239,0.5,0.0,1.0,,0.5,15,0.01,0.75,"C=0.01, l1_ratio=0.75",top_10,GSE199949
GSE184316,0.5,1.0,0.0,0.625,0.5,16,0.01,0.75,"C=0.01, l1_ratio=0.75",top_10,GSE199949
mean,0.5,,,,,141,0.01,0.75,"C=0.01, l1_ratio=0.75",top_10,GSE199949
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,0.1,0.75,"C=0.1, l1_ratio=0.75",top_10,GSE199949
GSE213001,1.0,1.0,1.0,1.0,1.0,101,0.1,0.75,"C=0.1, l1_ratio=0.75",top_10,GSE199949
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.1,0.75,"C=0.1, l1_ratio=0.75",top_10,GSE199949
GSE184316,0.5,0.0,1.0,,1.0,16,0.1,0.75,"C=0.1, l1_ratio=0.75",top_10,GSE199949
mean,0.8,,,,,141,0.1,0.75,"C=0.1, l1_ratio=0.75",top_10,GSE199949
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,1.0,0.75,"C=1, l1_ratio=0.75",top_10,GSE199949
GSE213001,0.9919354838709677,0.9838709677419355,1.0,1.0,1.0,101,1.0,0.75,"C=1, l1_ratio=0.75",top_10,GSE199949
GSE138239,1.0,1.0,1.0,1.0,1.0,15,1.0,0.75,"C=1, l1_ratio=0.75",top_10,GSE199949
GSE184316,0.5,0.0,1.0,,1.0,16,1.0,0.75,"C=1, l1_ratio=0.75",top_10,GSE199949
mean,0.7979838709677419,,,,,141,1.0,0.75,"C=1, l1_ratio=0.75",top_10,GSE199949
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,10.0,0.75,"C=10, l1_ratio=0.75",top_10,GSE199949
GSE213001,0.9743589743589743,1.0,0.9487179487179487,0.96875,0.999586435070306,101,10.0,0.75,"C=10, l1_ratio=0.75",top_10,GSE199949
GSE138239,1.0,1.0,1.0,1.0,1.0,15,10.0,0.75,"C=10, l1_ratio=0.75",top_10,GSE199949
GSE184316,0.5,0.0,1.0,,1.0,16,10.0,0.75,"C=10, l1_ratio=0.75",top_10,GSE199949
mean,0.7935897435897435,,,,,141,10.0,0.75,"C=10, l1_ratio=0.75",top_10,GSE199949
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,100.0,0.75,"C=100, l1_ratio=0.75",top_10,GSE199949
GSE213001,0.9534739454094293,0.9838709677419355,0.9230769230769231,0.953125,0.9880066170388752,101,100.0,0.75,"C=100, l1_ratio=0.75",top_10,GSE199949
GSE138239,1.0,1.0,1.0,1.0,1.0,15,100.0,0.75,"C=100, l1_ratio=0.75",top_10,GSE199949
GSE184316,0.5,0.0,1.0,,1.0,16,100.0,0.75,"C=100, l1_ratio=0.75",top_10,GSE199949
mean,0.7883684863523573,,,,,141,100.0,0.75,"C=100, l1_ratio=0.75",top_10,GSE199949
GSE213001,0.9871794871794872,1.0,0.9743589743589743,0.9841269841269841,1.0,101,0.01,0.25,"C=0.01, l1_ratio=0.25",top_25,GSE73189
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.01,0.25,"C=0.01, l1_ratio=0.25",top_25,GSE73189
GSE184316,0.9,0.8,1.0,1.0,1.0,16,0.01,0.25,"C=0.01, l1_ratio=0.25",top_25,GSE73189
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.01,0.25,"C=0.01, l1_ratio=0.25",top_25,GSE73189
mean,0.9648504273504274,,,,,166,0.01,0.25,"C=0.01, l1_ratio=0.25",top_25,GSE73189
GSE213001,1.0,1.0,1.0,1.0,1.0,101,0.1,0.25,"C=0.1, l1_ratio=0.25",top_25,GSE73189
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.1,0.25,"C=0.1, l1_ratio=0.25",top_25,GSE73189
GSE184316,0.95,0.9,1.0,1.0,1.0,16,0.1,0.25,"C=0.1, l1_ratio=0.25",top_25,GSE73189
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.1,0.25,"C=0.1, l1_ratio=0.25",top_25,GSE73189
mean,0.9805555555555556,,,,,166,0.1,0.25,"C=0.1, l1_ratio=0.25",top_25,GSE73189
GSE213001,0.9871794871794872,1.0,0.9743589743589743,0.9841269841269841,1.0,101,1.0,0.25,"C=1, l1_ratio=0.25",top_25,GSE73189
GSE138239,1.0,1.0,1.0,1.0,1.0,15,1.0,0.25,"C=1, l1_ratio=0.25",top_25,GSE73189
GSE184316,0.95,0.9,1.0,1.0,1.0,16,1.0,0.25,"C=1, l1_ratio=0.25",top_25,GSE73189
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,1.0,0.25,"C=1, l1_ratio=0.25",top_25,GSE73189
mean,0.9773504273504274,,,,,166,1.0,0.25,"C=1, l1_ratio=0.25",top_25,GSE73189
GSE213001,0.9871794871794872,1.0,0.9743589743589743,0.9841269841269841,1.0,101,10.0,0.25,"C=10, l1_ratio=0.25",top_25,GSE73189
GSE138239,1.0,1.0,1.0,1.0,1.0,15,10.0,0.25,"C=10, l1_ratio=0.25",top_25,GSE73189
GSE184316,0.95,0.9,1.0,1.0,1.0,16,10.0,0.25,"C=10, l1_ratio=0.25",top_25,GSE73189
GSE199949,1.0,1.0,1.0,1.0,1.0,34,10.0,0.25,"C=10, l1_ratio=0.25",top_25,GSE73189
mean,0.9842948717948719,,,,,166,10.0,0.25,"C=10, l1_ratio=0.25",top_25,GSE73189
GSE213001,1.0,1.0,1.0,1.0,1.0,101,100.0,0.25,"C=100, l1_ratio=0.25",top_25,GSE73189
GSE138239,1.0,1.0,1.0,1.0,1.0,15,100.0,0.25,"C=100, l1_ratio=0.25",top_25,GSE73189
GSE184316,1.0,1.0,1.0,1.0,1.0,16,100.0,0.25,"C=100, l1_ratio=0.25",top_25,GSE73189
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,100.0,0.25,"C=100, l1_ratio=0.25",top_25,GSE73189
mean,0.9930555555555556,,,,,166,100.0,0.25,"C=100, l1_ratio=0.25",top_25,GSE73189
GSE213001,0.5,0.0,1.0,,0.5,101,0.01,0.5,"C=0.01, l1_ratio=0.5",top_25,GSE73189
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.01,0.5,"C=0.01, l1_ratio=0.5",top_25,GSE73189
GSE184316,0.9,0.8,1.0,1.0,1.0,16,0.01,0.5,"C=0.01, l1_ratio=0.5",top_25,GSE73189
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.01,0.5,"C=0.01, l1_ratio=0.5",top_25,GSE73189
mean,0.8430555555555556,,,,,166,0.01,0.5,"C=0.01, l1_ratio=0.5",top_25,GSE73189
GSE213001,1.0,1.0,1.0,1.0,1.0,101,0.1,0.5,"C=0.1, l1_ratio=0.5",top_25,GSE73189
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.1,0.5,"C=0.1, l1_ratio=0.5",top_25,GSE73189
GSE184316,0.95,0.9,1.0,1.0,1.0,16,0.1,0.5,"C=0.1, l1_ratio=0.5",top_25,GSE73189
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.1,0.5,"C=0.1, l1_ratio=0.5",top_25,GSE73189
mean,0.9805555555555556,,,,,166,0.1,0.5,"C=0.1, l1_ratio=0.5",top_25,GSE73189
GSE213001,0.9871794871794872,1.0,0.9743589743589743,0.9841269841269841,1.0,101,1.0,0.5,"C=1, l1_ratio=0.5",top_25,GSE73189
GSE138239,1.0,1.0,1.0,1.0,1.0,15,1.0,0.5,"C=1, l1_ratio=0.5",top_25,GSE73189
GSE184316,1.0,1.0,1.0,1.0,1.0,16,1.0,0.5,"C=1, l1_ratio=0.5",top_25,GSE73189
GSE199949,1.0,1.0,1.0,1.0,1.0,34,1.0,0.5,"C=1, l1_ratio=0.5",top_25,GSE73189
mean,0.9967948717948718,,,,,166,1.0,0.5,"C=1, l1_ratio=0.5",top_25,GSE73189
GSE213001,0.9871794871794872,1.0,0.9743589743589743,0.9841269841269841,1.0,101,10.0,0.5,"C=10, l1_ratio=0.5",top_25,GSE73189
GSE138239,1.0,1.0,1.0,1.0,1.0,15,10.0,0.5,"C=10, l1_ratio=0.5",top_25,GSE73189
GSE184316,1.0,1.0,1.0,1.0,1.0,16,10.0,0.5,"C=10, l1_ratio=0.5",top_25,GSE73189
GSE199949,1.0,1.0,1.0,1.0,1.0,34,10.0,0.5,"C=10, l1_ratio=0.5",top_25,GSE73189
mean,0.9967948717948718,,,,,166,10.0,0.5,"C=10, l1_ratio=0.5",top_25,GSE73189
GSE213001,1.0,1.0,1.0,1.0,1.0,101,100.0,0.5,"C=100, l1_ratio=0.5",top_25,GSE73189
GSE138239,1.0,1.0,1.0,1.0,1.0,15,100.0,0.5,"C=100, l1_ratio=0.5",top_25,GSE73189
GSE184316,1.0,1.0,1.0,1.0,1.0,16,100.0,0.5,"C=100, l1_ratio=0.5",top_25,GSE73189
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,100.0,0.5,"C=100, l1_ratio=0.5",top_25,GSE73189
mean,0.9930555555555556,,,,,166,100.0,0.5,"C=100, l1_ratio=0.5",top_25,GSE73189
GSE213001,0.5,0.0,1.0,,0.5,101,0.01,0.75,"C=0.01, l1_ratio=0.75",top_25,GSE73189
GSE138239,0.5,1.0,0.0,0.7333333333333333,0.5,15,0.01,0.75,"C=0.01, l1_ratio=0.75",top_25,GSE73189
GSE184316,0.5,1.0,0.0,0.625,0.5,16,0.01,0.75,"C=0.01, l1_ratio=0.75",top_25,GSE73189
